,Name,Total Population,Public Use Microdata Area,Year
308,"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships PUMA; Illinois",179152,03208,2015
309,"DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",122235,03209,2015
310,"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships PUMA; Illinois",159730,03306,2015
311,"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA; Illinois",140609,03307,2015
312,"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA; Illinois",114726,03308,2015
313,"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA; Illinois",153348,03309,2015
314,"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA; Illinois",134505,03310,2015
315,"Cook County (Northwest)--Palatine & Barrington Townships PUMA, Illinois",128337,03401,2015
316,"Cook County (West Central)--Proviso, Riverside & River Forest Townships PUMA; Illinois",179053,03407,2015
317,"Cook County (Central)--Cicero, Berwyn & Oak Park Townships PUMA; Illinois",193147,03408,2015
318,"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",153953,03409,2015
319,"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",175999,03410,2015
320,"Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",174386,03411,2015
321,"Cook County (South Central)--Bremen & Orland (East) Townships PUMA, Illinois",110667,03412,2015
322,"Cook County (Southeast)--Thornton Township PUMA, Illinois",170054,03413,2015
323,"Cook County (South)--Bloom & Rich Townships PUMA, Illinois",168737,03414,2015
324,"Cook County (North)--Wheeling Township (North & East) PUMA, Illinois",126940,03415,2015
325,"Cook County (Northeast)--Northfield & New Trier Townships PUMA, Illinois",142761,03416,2015
326,"Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships PUMA, Illinois",122612,03417,2015
327,"Cook County (Northwest)--Schaumburg Township (South & Central) PUMA, Illinois",110229,03418,2015
328,"Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA, Illinois",123407,03419,2015
329,"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois",186596,03420,2015
330,"Cook County (North)--Niles & Evanston Townships PUMA, Illinois",182080,03421,2015
331,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",131409,03422,2015
332,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",164412,03501,2015
333,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",165171,03502,2015
334,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",147595,03503,2015
335,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",145478,03504,2015
336,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",135135,03520,2015
337,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",189826,03521,2015
338,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",139759,03522,2015
339,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",202511,03523,2015
340,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",181760,03524,2015
341,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",141554,03525,2015
342,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",162860,03526,2015
343,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",153737,03527,2015
344,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",146174,03528,2015
345,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",184128,03529,2015
346,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",132374,03530,2015
347,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",132120,03531,2015
348,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",131432,03532,2015
349,"McHenry County (North, West & Central) PUMA; Illinois",134545,03601,2015
350,"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships PUMA; Illinois",172792,03602,2015
351,"Kendall & Grundy Counties PUMA, Illinois",170313,03700,2015
