,Name,Total Population,Public Use Microdata Area,Year
63,"Cook County (Northwest)--Schaumburg Township (South & Central) PUMA, Illinois",110573,03418,2012
64,"Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA, Illinois",122270,03419,2012
65,"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois",186023,03420,2012
66,"Cook County (North)--Niles & Evanston Townships PUMA, Illinois",180137,03421,2012
67,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",130954,03422,2012
68,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",167887,03501,2012
69,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",161170,03502,2012
70,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",145745,03503,2012
71,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",147691,03504,2012
72,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",132505,03520,2012
73,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",188448,03521,2012
74,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",140396,03522,2012
75,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",201675,03523,2012
76,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",174815,03524,2012
77,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",127124,03525,2012
78,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",162263,03526,2012
79,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",148078,03527,2012
80,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",151798,03528,2012
81,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",179284,03529,2012
82,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",131191,03530,2012
83,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",141288,03531,2012
84,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",138811,03532,2012
85,"McHenry County (North, West & Central) PUMA; Illinois",133550,03601,2012
86,"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships PUMA; Illinois",174499,03602,2012
87,"Kendall & Grundy Counties PUMA, Illinois",164096,03700,2012
88,"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA; Illinois",131486,00104,2013
89,"Rock Island County PUMA, Illinois",147477,00105,2013
90,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA; Illinois",179860,00202,2013
91,"Adams, Pike, Brown, Schuyler & Mason Counties PUMA; Illinois",112391,00300,2013
92,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA; Illinois",143394,00401,2013
93,"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA; Illinois",141796,00501,2013
94,"Douglas, Edgar, Coles & Cumberland Counties PUMA; Illinois",102988,00600,2013
95,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA; Illinois",109004,00700,2013
96,"South & Southeast Illinois PUMA, Illinois",140392,00800,2013
97,"Jackson, Williamson, Franklin & Perry Counties PUMA; Illinois",188313,00900,2013
98,"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA; Illinois",158864,01001,2013
99,"St. Clair County (Central & Northeast) PUMA, Illinois",151015,01104,2013
100,"St. Clair County (Northwest, Southwest & Southeast) PUMA; Illinois",117924,01105,2013
101,"Madison County (East) PUMA, Illinois",121225,01204,2013
102,"Madison County (West)--Granite City, Alton, Wood River Cities & Godfrey Village PUMA; Illinois",147148,01205,2013
103,"Sangamon County--Springfield City PUMA, Illinois",198269,01300,2013
104,"Macon County--Decatur City PUMA, Illinois",110262,01500,2013
105,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA; Illinois",147781,01602,2013
106,"Peoria County--Peoria City PUMA, Illinois",187117,01701,2013
107,"Tazewell County PUMA, Illinois",135747,01900,2013
108,"McLean County PUMA, Illinois",171240,02000,2013
109,"Champaign County--Champaign & Urbana Cities PUMA, Illinois",202428,02100,2013
110,"Livingston, Ford, Iroquois & Vermilion Counties PUMA; Illinois",163271,02200,2013
111,"Kankakee County PUMA, Illinois",112991,02300,2013
112,"LaSalle County PUMA, Illinois",113295,02400,2013
113,"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA; Illinois",150365,02501,2013
114,"DeKalb County PUMA, Illinois",104820,02601,2013
115,"Stephenson & Ogle Counties PUMA, Illinois",100407,02700,2013
116,"Winnebago County (Southeast & West)--Rockford City PUMA, Illinois",202789,02801,2013
117,"Winnebago (Northeast) & Boone Counties PUMA, Illinois",144663,02901,2013
118,"Kane County (Southeast)--Aurora Township PUMA, Illinois",146600,03005,2013
119,"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA; Illinois",117044,03007,2013
120,"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",139383,03008,2013
121,"Kane County (West) PUMA, Illinois",115353,03009,2013
122,"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",133889,03102,2013
