,Public Use Area,Community,"Community 
Number",Total Population,Year
226,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Chicago Lawn,66.0,151395.0,2013.0
227,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Chicago Lawn,66.0,150711.0,2014.0
228,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Chicago Lawn,66.0,146174.0,2015.0
229,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",West Englewood,67.0,151798.0,2012.0
230,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",West Englewood,67.0,151395.0,2013.0
231,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",West Englewood,67.0,150711.0,2014.0
232,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",West Englewood,67.0,146174.0,2015.0
233,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Englewood,68.0,151798.0,2012.0
234,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Englewood,68.0,151395.0,2013.0
235,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Englewood,68.0,150711.0,2014.0
236,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Englewood,68.0,146174.0,2015.0
237,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Greater Grand Crossing,69.0,151798.0,2012.0
238,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Greater Grand Crossing,69.0,151395.0,2013.0
239,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Greater Grand Crossing,69.0,150711.0,2014.0
240,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Greater Grand Crossing,69.0,146174.0,2015.0
241,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Ashburn,70.0,131191.0,2012.0
242,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Ashburn,70.0,132789.0,2013.0
243,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Ashburn,70.0,131807.0,2014.0
244,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Ashburn,70.0,132374.0,2015.0
245,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Auburn Gresham,71.0,141288.0,2012.0
246,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Auburn Gresham,71.0,138115.0,2013.0
247,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Auburn Gresham,71.0,136087.0,2014.0
248,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Auburn Gresham,71.0,132120.0,2015.0
249,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Beverly,72.0,131191.0,2012.0
250,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Beverly,72.0,132789.0,2013.0
251,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Beverly,72.0,131807.0,2014.0
252,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Beverly,72.0,132374.0,2015.0
253,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Washington Heights,73.0,131191.0,2012.0
254,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Washington Heights,73.0,132789.0,2013.0
255,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Washington Heights,73.0,131807.0,2014.0
256,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Washington Heights,73.0,132374.0,2015.0
258,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Morgan Park,75.0,131191.0,2012.0
259,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Morgan Park,75.0,132789.0,2013.0
260,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Morgan Park,75.0,131807.0,2014.0
261,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",Morgan Park,75.0,132374.0,2015.0
262,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",O'Hare,76.0,130954.0,2012.0
263,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",O'Hare,76.0,131303.0,2013.0
264,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",O'Hare,76.0,132059.0,2014.0
265,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",O'Hare,76.0,131409.0,2015.0
266,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Edgewater,77.0,167887.0,2012.0
267,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Edgewater,77.0,167162.0,2013.0
268,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Edgewater,77.0,164391.0,2014.0
269,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Edgewater,77.0,164412.0,2015.0
