,Public Use Area,Community,"Community 
Number",Total Population,Year
51,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",Forest Glen,12.0,145478.0,2015.0
52,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",North Park,13.0,147691.0,2012.0
53,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",North Park,13.0,148787.0,2013.0
54,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",North Park,13.0,145956.0,2014.0
55,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",North Park,13.0,145478.0,2015.0
56,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",Albany Park,14.0,147691.0,2012.0
57,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",Albany Park,14.0,148787.0,2013.0
58,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",Albany Park,14.0,145956.0,2014.0
59,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",Albany Park,14.0,145478.0,2015.0
60,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",Portage Park,15.0,132505.0,2012.0
61,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",Portage Park,15.0,133211.0,2013.0
62,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",Portage Park,15.0,134455.0,2014.0
63,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",Portage Park,15.0,135135.0,2015.0
64,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",Irving Park,16.0,147691.0,2012.0
65,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",Irving Park,16.0,148787.0,2013.0
66,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",Irving Park,16.0,145956.0,2014.0
67,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",Irving Park,16.0,145478.0,2015.0
68,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",Dunning,17.0,132505.0,2012.0
69,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",Dunning,17.0,133211.0,2013.0
70,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",Dunning,17.0,134455.0,2014.0
71,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",Dunning,17.0,135135.0,2015.0
72,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Montclare,18.0,188448.0,2012.0
73,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Montclare,18.0,188559.0,2013.0
74,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Montclare,18.0,191620.0,2014.0
75,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Montclare,18.0,189826.0,2015.0
76,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Belmont Cragin,19.0,188448.0,2012.0
77,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Belmont Cragin,19.0,188559.0,2013.0
78,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Belmont Cragin,19.0,191620.0,2014.0
79,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Belmont Cragin,19.0,189826.0,2015.0
80,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Hermosa,20.0,140396.0,2012.0
81,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Hermosa,20.0,139456.0,2013.0
82,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Hermosa,20.0,138008.0,2014.0
83,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Hermosa,20.0,139759.0,2015.0
84,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Avondale,21.0,140396.0,2012.0
85,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Avondale,21.0,139456.0,2013.0
86,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Avondale,21.0,138008.0,2014.0
87,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Avondale,21.0,139759.0,2015.0
88,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Logan Square,22.0,140396.0,2012.0
89,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Logan Square,22.0,139456.0,2013.0
90,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Logan Square,22.0,138008.0,2014.0
91,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",Logan Square,22.0,139759.0,2015.0
92,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",Humboldt Park,23.0,201675.0,2012.0
93,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",Humboldt Park,23.0,198328.0,2013.0
94,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",Humboldt Park,23.0,202175.0,2014.0
95,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",Humboldt Park,23.0,202511.0,2015.0
96,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",West Town,24.0,174815.0,2012.0
97,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",West Town,24.0,174862.0,2013.0
98,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",West Town,24.0,178197.0,2014.0
99,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",West Town,24.0,181760.0,2015.0
100,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Austin,25.0,188448.0,2012.0
101,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Austin,25.0,188559.0,2013.0
102,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Austin,25.0,191620.0,2014.0
103,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",Austin,25.0,189826.0,2015.0
